col11, col12, col13, col21, col22, col23
12, 35, 34, 97, 35, 62
94, 67, 86, 66, 67, 27
22, 55, 51, 22, 55, 65
98, 4, 48, 69, 4, 80
39, 42, 72, 70, 42, 48
35, 28, 25, 55, 28, 21
43, 27, 90, 81, 27, 18
98, 2, 71, 68, 2, 66
43, 54, 36, 6, 54, 72
95, 85, 42, 59, 85, 30
80, 88, 8, 23, 88, 86
78, 76, 70, 59, 76, 64
50, 78, 65, 11, 78, 12
12, 35, 34, 67, 35, 18
77, 8, 81, 3, 8, 78
92, 8, 78, 3, 8, 78
74, 80, 20, 53, 80, 48
21, 15, 71, 10, 15, 10
59, 100, 71, 73, 100, 96
96, 100, 8, 73, 100, 96
40, 49, 84, 20, 49, 24
50, 49, 86, 20, 49, 24
80, 39, 23, 73, 39, 77
2, 39, 28, 73, 39, 77
40, 39, 96, 73, 39, 77
22, 55, 51, 21, 55, 96
78, 76, 70, 49, 76, 42
8, 13, 81, 2, 13, 50
31, 36, 84, 74, 36, 96
35, 84, 86, 64, 84, 18
16, 56, 36, 11, 56, 33
14, 43, 20, 59, 43, 62
50, 43, 92, 59, 43, 62
77, 43, 74, 59, 43, 62
74, 80, 20, 38, 80, 29
59, 18, 57, 38, 18, 100
54, 68, 88, 12, 68, 64
12, 68, 3, 12, 68, 64
21, 68, 21, 12, 68, 64
34, 53, 71, 24, 53, 35
65, 40, 59, 72, 40, 59
81, 94, 9, 18, 94, 12
80, 94, 82, 18, 94, 12
43, 54, 36, 86, 54, 39
21, 15, 71, 97, 15, 44
81, 94, 9, 60, 94, 1
80, 94, 82, 60, 94, 1
64, 32, 4, 2, 32, 17
85, 32, 20, 2, 32, 17
47, 91, 20, 19, 91, 89
40, 91, 36, 19, 91, 89
4, 91, 36, 19, 91, 89
77, 8, 81, 78, 8, 48
92, 8, 78, 78, 8, 48
59, 100, 71, 20, 100, 13
96, 100, 8, 20, 100, 13
41, 73, 14, 38, 73, 38
74, 80, 20, 38, 80, 2
99, 60, 45, 17, 60, 51
21, 15, 71, 31, 15, 3
67, 34, 1, 79, 34, 6
36, 34, 94, 79, 34, 6
38, 34, 55, 79, 34, 6
62, 38, 48, 34, 38, 65
38, 38, 21, 34, 38, 65
69, 25, 69, 24, 25, 63
8, 11, 54, 34, 11, 85
43, 11, 38, 34, 11, 85
27, 23, 89, 10, 23, 46
33, 24, 63, 44, 24, 47
43, 54, 36, 8, 54, 73
41, 73, 14, 35, 73, 58
35, 28, 25, 44, 28, 13
31, 36, 84, 21, 36, 42
69, 25, 69, 52, 25, 64
53, 33, 70, 44, 33, 21
66, 33, 56, 44, 33, 21
90, 62, 23, 1, 62, 8
35, 84, 86, 5, 84, 26
20, 83, 85, 68, 83, 9
71, 83, 81, 68, 83, 9
35, 84, 86, 37, 84, 29
74, 80, 20, 41, 80, 56
21, 15, 71, 11, 15, 75
54, 57, 13, 79, 57, 45
40, 49, 84, 76, 49, 45
50, 49, 86, 76, 49, 45
8, 11, 54, 92, 11, 28
43, 11, 38, 92, 11, 28
54, 57, 13, 26, 57, 41
62, 38, 48, 36, 38, 38
38, 38, 21, 36, 38, 38
35, 14, 14, 22, 14, 2
94, 67, 86, 37, 67, 94
95, 85, 42, 11, 85, 9
9, 21, 77, 59, 21, 70
45, 21, 45, 59, 21, 70
54, 57, 13, 88, 57, 37
86, 47, 90, 95, 47, 80
22, 96, 23, 71, 96, 50
40, 49, 84, 56, 49, 7
50, 49, 86, 56, 49, 7
8, 17, 66, 93, 17, 52
18, 17, 15, 93, 17, 52
69, 25, 69, 23, 25, 97
23, 89, 31, 73, 89, 72
30, 89, 63, 73, 89, 72
80, 88, 8, 100, 88, 9
50, 78, 65, 10, 78, 72
54, 68, 88, 21, 68, 86
12, 68, 3, 21, 68, 86
21, 68, 21, 21, 68, 86
9, 21, 77, 8, 21, 8
45, 21, 45, 8, 21, 8
78, 76, 70, 75, 76, 92
54, 57, 13, 22, 57, 8
8, 13, 81, 97, 13, 54
98, 4, 48, 67, 4, 16
22, 55, 51, 18, 55, 69
99, 60, 45, 21, 60, 68
94, 67, 86, 23, 67, 87
55, 82, 20, 11, 82, 38
48, 44, 76, 92, 44, 21
23, 89, 31, 1, 89, 92
30, 89, 63, 1, 89, 92
40, 49, 84, 51, 49, 17
50, 49, 86, 51, 49, 17
22, 96, 23, 54, 96, 2
35, 14, 14, 55, 14, 21
14, 43, 20, 90, 43, 22
50, 43, 92, 90, 43, 22
77, 43, 74, 90, 43, 22
86, 47, 90, 24, 47, 27
20, 83, 85, 44, 83, 89
71, 83, 81, 44, 83, 89
67, 34, 1, 24, 34, 85
36, 34, 94, 24, 34, 85
38, 34, 55, 24, 34, 85
50, 46, 93, 97, 46, 90
35, 28, 25, 74, 28, 43
33, 24, 63, 40, 24, 28
